0,9.53674316406e-07
1,0.0
2,9.53674316406e-07
3,9.53674316406e-07
4,2.14576721191e-06
5,1.90734863281e-06
6,2.86102294922e-06
7,3.81469726562e-06
8,8.10623168945e-06
9,1.19209289551e-05
10,1.90734863281e-05
11,3.09944152832e-05
12,4.98294830322e-05
13,7.9870223999e-05
14,0.000128984451294
15,0.000209093093872
16,0.000339031219482
17,0.000548124313354
18,0.000885009765625
19,0.00143599510193
20,0.00255012512207
21,0.00379490852356
22,0.00614404678345
23,0.0100030899048
24,0.0156738758087
25,0.0252389907837
26,0.0409369468689
27,0.0685749053955
28,0.110178947449
29,0.18926692009
30,0.285945177078
31,0.470737934113
32,0.786889791489
33,1.25857806206
34,2.00130486488
